id,priority,source_section,requirement,verification,artifact,status
MOT-0001,MUST,1,Use the product name متزن and preserve its intended meaning,Check constitution name and Arabic rendering,01_PRODUCT_CONSTITUTION/constitution.md,IN_PROGRESS
MOT-0002,MUST,2,Build a society-wide library of distinct 100-day human-capability curricula,Count planned tracks and require 100 days per final track,04_TRACK_UNIVERSE/tracks.json,IN_PROGRESS
MOT-0003,MUST,3,Teach evidence-informed human capability and mental-health literacy through practical curricula,Review mission scope and every track outcome,02_PRD/PRD-v2.md,IN_PROGRESS
MOT-0004,MUST NOT,4,Do not operate as therapy diagnosis emergency care or pseudo-scientific self-help,Run prohibited-claim and safety-boundary audit,22_SAFETY/professional-boundaries.md,IN_PROGRESS
MOT-0005,MUST,5,Make research evidence practice cultural fit safety and humility foundational,Map each principle to a product gate,01_PRODUCT_CONSTITUTION/constitution.md,IN_PROGRESS
MOT-0006,MUST,6,Apply the universal learn-understand-practice-reflect-integrate formula,Validate every day contains all learning stages,14_DAILY_LESSONS,PLANNED
MOT-0007,MUST,7,Represent all eighteen content layers without reducing them to a shallow lesson,Audit day schema and coverage matrix,15_DATA_MODEL/schema.md,PLANNED
MOT-0008,MUST NOT,8,Do not prioritize fast generation or attractive UI over deep curriculum research,Confirm no production UI integration precedes content gates,27_BUILD_ORDER/build-order.md,IN_PROGRESS
MOT-0009,MUST,9,Run the full research operating loop before curriculum synthesis,Require search log evidence gate and synthesis status,05_ROLE_RESEARCH,PLANNED
MOT-0010,MUST,10,Create a role-specific research question tree before searching,Validate question coverage for first priority track,05_ROLE_RESEARCH/TRACK-HUMAN-001/question-tree.md,PLANNED
MOT-0011,MUST,11,Search all required source families and record provenance,Audit source types against required families,06_SOURCE_LIBRARY/sources.json,PLANNED
MOT-0012,MUST,12,Meet source mix quotas without treating quotas as a stopping rule,Calculate source mix and require saturation notes,05_ROLE_RESEARCH/TRACK-HUMAN-001/research-gate.md,PLANNED
MOT-0013,MUST NOT,13,Do not stop after finding several good sources,Require unresolved-query and saturation records,05_ROLE_RESEARCH/TRACK-HUMAN-001/search-log.csv,PLANNED
MOT-0014,MUST,14,Document research saturation by domain and reopen weak domains,Verify every domain has saturation rationale,05_ROLE_RESEARCH/TRACK-HUMAN-001/research-gate.md,PLANNED
MOT-0015,MUST,15,Classify source quality from strongest guidance and reviews to excluded low-quality material,Validate evidence-level controlled vocabulary,06_SOURCE_LIBRARY/sources.json,PLANNED
MOT-0016,MUST,16,Maintain an atomic claim ledger with sources population limitations counterevidence and review state,Validate every required claim field and source link,07_CLAIM_LIBRARY/claims.json,PLANNED
MOT-0017,MUST NOT,17,Do not use science says language when evidence is mixed narrow or uncertain,Scan published wording and require calibrated alternatives,24_TESTS,PLANNED
MOT-0018,MUST,18,Teach replication measurement sampling publication-bias and cultural-transfer limits,Audit capability and myth coverage,08_CONCEPT_ONTOLOGY/human-capabilities.json,PLANNED
MOT-0019,MUST,19,Audit popular psychology claims before using them,Require verdict evidence and limitation for each myth,07_CLAIM_LIBRARY/myths.json,PLANNED
MOT-0020,MUST,20,Run four independent expert lenses for every major track and preserve objections,Check four complete reports and veto dispositions,25_RED_TEAM/expert-lens-reports.md,PLANNED
MOT-0021,MUST,21,Model the complete master role architecture with distinct research needs,Audit named core family education work and society roles,04_TRACK_UNIVERSE/tracks.json,PLANNED
MOT-0022,MUST,22,Research the additional life-stage family education work community and transition track universe,Audit all listed candidate roles and overlap decisions,04_TRACK_UNIVERSE/tracks.json,PLANNED
MOT-0023,MUST,23,Use a scored priority matrix while retaining 100 days for each published final track,Recalculate scores and inspect day_count_required,04_TRACK_UNIVERSE/priority-matrix.csv,PLANNED
MOT-0024,MUST,24,Make each role track genuinely distinct in pressures skills examples exercises and sequencing,Run cross-track similarity and role-specificity audit,24_TESTS/cross-track-duplication.md,PLANNED
MOT-0025,MUST,25,Reuse evidence infrastructure without shrinking role curricula,Trace shared sources while forbidding copied final lessons,15_DATA_MODEL/schema.md,PLANNED
MOT-0026,MUST,26,Cover the complete core human domain library,Map each domain to capabilities claims and track days,24_TESTS/TRACK-HUMAN-001-coverage.csv,PLANNED
MOT-0027,MUST,27,Create a searchable comprehensive bad-pattern library,Count required patterns and role mappings,10_PATTERN_ONTOLOGY/patterns.json,PLANNED
MOT-0028,MUST,28,Give every pattern triggers rewards costs alternatives practice relapse and safety fields,Validate the complete pattern schema,10_PATTERN_ONTOLOGY/patterns.json,PLANNED
MOT-0029,MUST,29,Design every final track as exactly 100 sequenced days,Validate exact count unique order and phase coverage,13_TRACK_100_DAY_PLANS,PLANNED
MOT-0030,MUST NOT,30,Do not copy one ten-phase template mechanically across roles,Audit phase weights and role-specific rationale,24_TESTS/cross-track-duplication.md,PLANNED
MOT-0031,MUST,31,Use the full universal daily lesson schema for every complete day,Validate all 44 required fields and substantive values,tools/motazen2/validate-days.mjs,PLANNED
MOT-0032,MUST,32,Provide a meaningful low-energy version for every day,Reject days with missing or disguised normal-effort alternatives,14_DAILY_LESSONS,PLANNED
MOT-0033,MUST,33,Let users resume after missed days without punishment reset or shame,Test missed-day states and copy,15_DATA_MODEL/progress.md,PLANNED
