"Domain","Days Allocated","Days","Importance","Evidence","Role Specificity","Unresolved Gap"
"الوعي بالذات / self-awareness","14","1 2 7 8 10 13 21 31 41 47 91 92 95 100","CRITICAL_FOUNDATION","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Self-awareness needs a non-ruminative, non-surveillance operational definition and Egyptian-language testing."
"الثقافة العاطفية / emotional literacy","4","31 32 36 40","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Egyptian Arabic emotion vocabulary and low-literacy recognition testing remain absent."
"تنظيم الانفعالات / emotional regulation","8","32 33 34 35 39 40 64 93","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Practice-by-practice dose, contraindication, and local acceptability are unresolved."
"المرونة المعرفية / cognitive flexibility","14","8 10 21 22 23 24 25 30 39 54 65 75 92 100","CRITICAL_FOUNDATION","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","No direct everyday cognitive-flexibility intervention synthesis has been appraised."
"فهم القيم / values","5","5 10 89 99 100","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Values clarification needs autonomy, family-duty, religion, and power-sensitive Egyptian testing."
"بناء الهوية / identity","2","6 76","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Identity intervention evidence is sparse and role-transition evidence for diverse Egyptian adults is missing."
"احترام الذات / self-respect","7","1 2 4 26 37 46 76","CRITICAL_FOUNDATION","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Dignity and self-respect remain distinct from self-esteem scores; Egyptian meanings and non-contingent wording need direct testing."
"التعاطف مع الذات / self-compassion","2","4 37","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","High risk of bias, cultural framing, adverse reactions, and behavior transfer require further work."
"تحمل المسؤولية / responsibility","11","3 9 10 14 18 61 66 71 84 91 100","CRITICAL_FOUNDATION","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","The anti-blame boundary is supported, but the exact Egyptian responsibility script requires structural, legal, linguistic, and user review."
"اتخاذ القرار / decision making","12","9 27 28 29 30 32 72 77 83 93 97 99","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Real-world Egyptian family, financial, work, and service decisions remain untested."
"حل المشكلات / problem solving","4","7 24 44 45","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","A standalone self-guided problem-solving protocol and escalation boundary are not validated."
"تشكيل العادات / habits","12","41 42 43 44 45 47 49 50 92 93 96 99","CRITICAL_FOUNDATION","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Dose, context stability, relapse, disability, and structural feasibility need testing."
"فهم الدافعية / motivation","2","42 44","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Behavior effects are small and Egyptian autonomy and constraint meanings need testing."
"الانضباط المرن / discipline","7","16 19 45 46 50 94 96","IMPORTANT","PARTIAL","UNIVERSAL_HUMAN_FOUNDATION","Flexible discipline needs a direct non-moralizing operational definition and counterevidence."
"إدارة الانتباه / attention","7","15 16 17 20 34 43 73","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Ordinary attention supports outside digital contexts and across Egyptian work and care settings are under-researched."
"التوازن الرقمي / digital balance","1","17","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Egyptian platform practices, affordability, essential device use, harassment, and work dependence need direct study."
"ثقافة النوم / sleep literacy","3","12 13 20","IMPORTANT","RESEARCHED_INITIAL","UNIVERSAL_HUMAN_FOUNDATION","Local shift work, caregiving, housing, climate, medical red flags, and practice dose need professional review."
