search_id,date,language,domain,query,purpose,status,notes
Q-0001,2026-08-13,en,mental-health-literacy,site:pubmed.ncbi.nlm.nih.gov systematic review mental health literacy interventions adults help seeking,systematic review and outcomes,SCREENED,Adult review found with LMIC limitation
Q-0002,2026-08-13,en,self-help,site:who.int mental health promotion prevention self-help stress guide evidence WHO Arabic,professional guidance,SCREENED,WHO guidance found; equivalence to Motazen prohibited
Q-0003,2026-08-13,en,help-seeking,site:cochranelibrary.com psychological interventions wellbeing adults systematic review self help,systematic review,NO_DIRECT_RESULT,Repeat through databases and topic-specific reviews
Q-0004,2026-08-13,en,egypt-mena,site:emro.who.int Egypt mental health promotion help seeking stigma Arabic,regional context,NO_DIRECT_RESULT,Dedicated Arabic and institutional searches still required
Q-0005,2026-08-13,en,help-seeking,mental health literacy intervention help-seeking systematic review limitations,counterevidence,SCREENED,Youth school review reports no strong help-seeking evidence
Q-0006,2026-08-13,en,emotion-regulation,emotion regulation mental health meta-analysis culture suppression reappraisal,mechanism and cultural moderation,SCREENED,Associational meta-analysis found; causal transfer prohibited
Q-0007,2026-08-13,en,self-compassion,self-compassion interventions stress anxiety systematic review meta-analysis randomized,benefits and bias,SCREENED,Small-to-medium immediate effects with high overall risk of bias
Q-0008,2026-08-13,en,psychological-flexibility,psychological flexibility mechanisms ACT systematic meta-analytic review,mechanism and treatment boundary,SCREENED,Clinical mechanism evidence found; product-treatment equivalence prohibited
Q-0009,2026-08-13,en,procrastination,procrastination psychological treatment systematic review meta-analysis heterogeneity,effect and counterevidence,SCREENED,Small heterogeneous pooled evidence base
Q-0010,2026-08-13,en,habit-formation,time to form a habit systematic review meta-analysis automaticity,challenge fixed-day myth,SCREENED,Highly variable time and high risk of bias found
Q-0011,2026-08-13,en,self-monitoring,self-monitoring behavior systematic review no effect detrimental,harms and null effects,SCREENED,Domain-specific substance-use review reports helpful null and detrimental analyses
Q-0012,2026-08-13,en,implementation-intentions,implementation intentions healthy diet systematic review meta-analysis limitations,planning technique evidence,SCREENED,Domain and outcome differences found
