domain,status,count,ids
أزمة,contested,0,
أزمة,debunked,0,
أزمة,established,1,self-harm-help
أزمة,unknown,0,
أسس,contested,11,bz1-mental-health-as-primary-good bz1-wellbeing-definition-value-laden bz2-serotonin-role-contested bz2-solved-or-open bz3-true-magnitude-contested bz4-actuarial-vs-clinical bz4-dunning-kruger bz5-crisis-overstated bz6-definition-of-disorder-unsettled bz6-overmedicalizing-grief-contested bz7-are-current-categories-valid
أسس,debunked,1,bz2-serotonin-simple-story-debunked
أسس,established,21,bz1-continuum-not-binary bz1-who-positive-definition bz2-false-division-clinical bz2-identity-theory bz2-positions-map bz2-subjective-character bz3-no-health-without bz3-top-ten-burden bz3-treatment-gap bz4-anecdote-not-evidence bz4-confirmation-bias-search bz4-illusory-truth bz5-replication-crisis bz5-stigma-paradox bz5-study-vs-know bz5-weird bz6-conditions-broader-than-disorders bz6-dismissing-real-illness-harms bz7-categories-are-human-decisions bz7-diagnostic-reach-is-expanding bz7-validation-rests-on-value-judgments
أسس,unknown,7,bz1-no-single-agreed-definition bz2-hard-problem-unknown bz3-what-we-dont-know bz4-what-we-dont-know bz5-what-we-dont-know bz6-no-biological-line-unknown bz7-no-settled-definition-of-disorder
انتباه,contested,1,adhd-over-under-diagnosis
انتباه,debunked,1,adhd-myths-sugar-parenting-screens
انتباه,established,8,adhd-adult-validity-comorbidities adhd-arab-egypt-context adhd-established-help adhd-executive-function-model adhd-normal-vs-disorder adhd-real-valid adhd-recognition-features adult-adhd
انتباه,unknown,1,adhd-causes-unknown
تنقّل,contested,0,
تنقّل,debunked,0,
تنقّل,established,3,nav-help-underused nav-literacy-matters nav-stigma-barrier
تنقّل,unknown,1,nav-frameworks-unknown
خريطة,contested,1,p0-bps-contested
خريطة,debunked,0,
خريطة,established,4,p0-attend-positive p0-bps-frame p0-languishing p0-two-continua
خريطة,unknown,1,p0-map-unknown
ذهان,contested,2,psy-maintenance-contested psychosis-continuum-model
ذهان,debunked,2,psy-not-split-personality psy-violence-myth
ذهان,established,6,psy-continuum psy-early-treatment psy-recovery-real psy-treatment-recommended psychosis-cannabis-risk psychosis-recovery
ذهان,unknown,1,psy-longterm-unknown
سلوك,contested,0,
سلوك,debunked,0,
سلوك,established,2,addiction-is-illness eating-disorders
سلوك,unknown,0,
صدمة,contested,1,trauma-emdr-contested
صدمة,debunked,1,trauma-debriefing-debunked
صدمة,established,6,trauma-aces-childhood trauma-cbt-best-evidence trauma-features-clusters trauma-most-recover trauma-real-serious trauma-war-children
صدمة,unknown,1,trauma-displaced-unknown
ضغط ونوم,contested,2,sleep-eight-hours-contested sleep-melatonin-overuse
ضغط ونوم,debunked,1,sleep-supplement-cortisol-misinfo
ضغط ونوم,established,8,sleep-behavioral-selfhelp sleep-cbti-first-line sleep-disruptors-caffeine-shift sleep-insomnia-features sleep-mental-health-bidirectional sleep-normal-vs-disorder stress-cardiometabolic-harm stress-response-adaptive-and-chronic
ضغط ونوم,unknown,1,sleep-why-we-sleep-unknown
ضغط,contested,0,
ضغط,debunked,0,
ضغط,established,2,burnout-is-real loneliness-health
ضغط,unknown,0,
قلق,contested,1,anx-how-strong-contested
قلق,debunked,1,anx-cbd-cannabis-hype
قلق,established,10,anx-benzo-caution anx-common-yet-untreated anx-comorbidity-depression anx-cultural-somatic anx-disorder-line anx-exposure-avoidance anx-fear-adaptive anx-help-exists anx-subtypes ocd-basics
قلق,unknown,1,anx-why-unknown
مزاج,contested,1,mood-efficacy-contested
مزاج,debunked,1,mood-not-weakness
مزاج,established,15,bipolar-basics grief-vs-depression mood-antidepressants mood-behavioural-activation mood-burden mood-can-be-serious mood-comorbid-anxiety mood-help-exists mood-psychotherapy-works mood-recurrence mood-regional mood-vs-ordinary-sadness mood-what-is postpartum-depression seasonal-affective
مزاج,unknown,1,mood-longterm-unknown
مهارات,contested,0,
مهارات,debunked,0,
مهارات,established,4,skill-behavioural-activation skill-breathing skill-facing-avoidance skill-gratitude
مهارات,unknown,1,skill-what-we-dont-know
