priority_rank,track_id,name_ar,category,population_size,need,evidence_availability,potential_benefit,risk,content_overlap,distinctiveness,egyptian_relevance,professional_review_requirement,implementation_cost,composite_score,scoring_status,rationale
1,TRACK-HUMAN-001,إنسان متزن,core-human,5,5,5,5,3,5,4,5,4,4,18,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
2,TRACK-STUDENT-001,طالب متزن,master-student,5,5,4,5,3,4,4,5,4,4,18,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
3,TRACK-STUDENT-002,طالبة متزنة,master-student,5,5,4,5,3,4,4,5,4,4,18,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
4,TRACK-PARENT-001,أب متزن,parent,5,5,4,5,4,4,5,5,5,5,16,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
5,TRACK-PARENT-002,أم متزنة,parent,5,5,4,5,4,4,5,5,5,5,16,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
6,TRACK-EDUCATOR-001,معلم متزن,master-educator,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
7,TRACK-EDUCATOR-002,معلمة متزنة,master-educator,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
8,TRACK-ADULT-001,رجل متزن,adult-identity,5,4,4,4,3,4,3,5,4,4,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
9,TRACK-ADULT-002,امرأة متزنة,adult-identity,5,4,4,4,3,4,3,5,4,4,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
10,TRACK-SIBLING-001,أخ متزن,sibling,4,4,3,4,3,3,4,5,4,4,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
11,TRACK-SIBLING-002,أخت متزنة,sibling,4,4,3,4,3,3,4,5,4,4,14,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
12,TRACK-COMMUNITY-001,صديق متزن,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
13,TRACK-COMMUNITY-002,صديقة متزنة,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
14,TRACK-COMMUNITY-003,جار متزن,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
15,TRACK-COMMUNITY-004,جارة متزنة,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
16,TRACK-COMMUNITY-005,متطوع متزن,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
17,TRACK-COMMUNITY-006,متطوعة متزنة,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
18,TRACK-COMMUNITY-007,مواطن متزن,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
19,TRACK-COMMUNITY-008,مواطنة متزنة,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
20,TRACK-COMMUNITY-009,قائد مجتمع متزن,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
21,TRACK-COMMUNITY-010,قائدة مجتمع متزنة,community,4,4,3,4,3,3,5,5,4,4,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
22,TRACK-EDU-001,طالب مدرسة متزن,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
23,TRACK-EDU-002,طالبة مدرسة متزنة,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
24,TRACK-EDU-003,طالب جامعة متزن,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
25,TRACK-EDU-004,طالبة جامعة متزنة,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
26,TRACK-EDU-005,باحث متزن,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
27,TRACK-EDU-006,باحثة متزنة,education,4,5,4,5,4,4,5,5,5,5,15,PROVISIONAL_DESK_SCORING,Scores are transparent planning judgments from the supplied specification and require research and stakeholder validation before publication scheduling.
