id,title,status,probe_url,probe_result
A1,«أمي وأخويا اتأخروا وموبايلهم مقفول»,source-found,https://www.gov.uk/report-missing-person,200; substantive scenario evidence; 68068 chars; sha256 c72ecd6310dcbea778d6d4a8e45bf80089cb16c8c7ad19d99cd82f5c249e67d5
A10,«حد فتح حساب/قرض باسمي»,no-source,https://www.identitytheft.gov/,non-substantive page content (17 visible characters; 2 distinct words)
A11,«حوّلت فلوس لحد اكتشفت إنه نصاب»,source-found,https://consumer.ftc.gov/articles/what-do-if-you-were-scammed,200; substantive scenario evidence; 492377 chars; sha256 967bf6cc8dd2de868b33654786bde90fbe1e13c12abc4f734d5919519ee1adf8
A12,«شغل أونلاين طلب مني أستلم فلوس وأحوّلها»,source-found,https://consumer.ftc.gov/articles/job-scams,200; substantive scenario evidence; 494015 chars; sha256 eb745304f71b1200988582165974ecdccc60b008051f0eae15f8555560782275
A13,«قالولي استثمار مضمون في الكريبتو»,source-found,https://consumer.ftc.gov/articles/what-know-about-cryptocurrency-and-scams,200; substantive scenario evidence; 497497 chars; sha256 a0bc23c339dcdcf4d389dc758285c99434a91da7bfe311a25afc67b677a9f99c
A14,«اشتريت من صفحة ومستلمتش حاجة»,source-found,https://consumer.ftc.gov/articles/what-do-if-you-were-scammed,200; substantive scenario evidence; 492377 chars; sha256 967bf6cc8dd2de868b33654786bde90fbe1e13c12abc4f734d5919519ee1adf8
A15,«حسابي اتسرق وبيبعت رسايل لناسي»,source-found,https://www.ncsc.gov.uk/guidance/recovering-a-hacked-account,200; substantive scenario evidence; 144700 chars; sha256 3fbfd95d57d272ddaebd92c472467439c25199e6ee0c1be32b441ea579286402
A16,«جالي كود OTP وأنا مش بسجّل دخول»,source-found,https://www.ncsc.gov.uk/collection/top-tips-for-staying-secure-online/activate-2-step-verification-on-your-email,200; substantive scenario evidence; 141984 chars; sha256 abbdd2ab94fa6ec6f34615c19ca43a45646f49f290e5e1fe308d2d24445cb3dd
A17,«الويندوز بتاعي اتقفل وطالبين فدية»,source-found,https://www.ncsc.gov.uk/ransomware/home,200; substantive scenario evidence; 91405 chars; sha256 b5c0aca6a9f780c6d865f69e63223cdf03950b602fafd1c6e205b111dc390eeb
A18,«إيميلي ظهر في تسريب بيانات»,no-source,https://consumer.ftc.gov/articles/what-do-data-breach,fetch failed
A19,«موبايل ابني فيه تطبيقات مش عارفها»,no-source,https://consumer.ftc.gov/articles/how-protect-kids-online,HTTP 404
A2,«والدي في دولة تانية وفقدت الاتصال بيه»,not-built-unprobed,,no official/primary candidate selected
A20,«فقدت الوصول لإيميلي وكل حساباتي مربوطة بيه»,source-found,https://www.ncsc.gov.uk/guidance/recovering-a-hacked-account,200; substantive scenario evidence; 144700 chars; sha256 3fbfd95d57d272ddaebd92c472467439c25199e6ee0c1be32b441ea579286402
A21,«كاميرا البيت — مين شايفها غيري؟»,source-found,https://www.ncsc.gov.uk/guidance/smart-devices-in-the-home,200; substantive scenario evidence; 147238 chars; sha256 eed70d6a192607e2b3ab4a91155ec386868333503b8aaf59a02c2b43be2d7722
A22,«الراوتر بتاعي — حد تاني عليه؟»,no-source,https://www.cisa.gov/secure-our-world,200 but not scenario-specific; missing semantic evidence for router|wi-fi|wifi|wireless network
A23,«جدّي بيرد على كل مكالمة وبيصدّق»,no-source,https://consumer.ftc.gov/consumer-alerts/2024/10/report-fraud-ftc-what-older-adults-need-know,fetch failed
A24,«ولادي بينشروا كل حاجة — إيه اللي بيبان للمجرم؟»,source-found,https://www.ncsc.gov.uk/guidance/social-media-how-to-use-it-safely,200; substantive scenario evidence; 140258 chars; sha256 c7292004aa4c3fdf6a71a6e4d00e80815fe663a74d8bd28af02035cedae089be
A3,«جالي تليفون إن ابني/أخويا اتخطف وعايزين فدية دلوقتي»,no-source,https://consumer.ftc.gov/articles/family-emergency-scams,HTTP 404
A4,«بنتي بتتكلم مع حد على النت ومش عارفة مين»,no-source,https://www.ncsc.gov.uk/guidance/social-media-how-to-use-it-safely,200 but not scenario-specific; missing semantic evidence for grooming|child safety|children online
A5,«حد بيهددني ينشر صوري»,source-found,https://www.ncsc.gov.uk/guidance/sextortion-scams-how-to-protect-yourself,200; substantive scenario evidence; 135074 chars; sha256 cff5bae4881648b7cab3ea4583963eb5dac22a55a5ee4748ceb25abe24c82185
A6,«حاسس إن حد بيتابعني من موبايلي»,source-found,https://consumer.ftc.gov/articles/how-protect-your-phone-hackers,200; substantive scenario evidence; 484229 chars; sha256 30e51959a90d6b6f7c0329bd791a80add42f87002fda19715ac0c7ef0f26886b
A7,«موبايلي فصل فجأة ومش راجع»,source-found,https://www.ic3.gov/PSA/2022/PSA220208,200; substantive scenario evidence; 7419 chars; sha256 f80d652b4af0e407d3be1c225a916ffccdd80c075197ab5a7fa1ef776e5f0728
A8,«حد دخل على حسابي البنكي»,no-source,https://www.identitytheft.gov/,non-substantive page content (17 visible characters; 2 distinct words)
A9,«اتسرق موبايلي — دلوقتي أعمل إيه بالترتيب»,source-found,https://support.google.com/accounts/answer/6160491,200; substantive scenario evidence; 1581985 chars; sha256 223bc800b5ddd16b421ae0eb3f08e91b06a6806d2bd549d5b813c5a9f47b58ea
